year,state,rate,value
1996,Montana,5.462202381,"44,768"
1996,Nebraska,2.89202509,"53,087"
1996,Nevada,6.459803922,"60,151"
1996,New Hampshire,3.883333333,"61,504"
1996,New Jersey,6.387301587,"74,085"
1996,New Mexico,8.960606061,"39,153"
1996,New York,5.904166667,"55,266"
1996,North Carolina,5.514416667,"55,564"
1996,North Dakota,3.417295597,"49,117"
1996,Ohio,6.321875,"53,175"
1996,Oklahoma,4.785822511,"42,822"
1996,Oregon,7.683564815,"55,394"
1996,Pennsylvania,6.363557214,"54,468"
1996,Rhode Island,4.99,"57,726"
1996,South Carolina,7.55615942,"54,103"
1996,South Dakota,4.151388889,"46,083"
1996,Tennessee,7.184035088,"48,055"
1996,Texas,5.878641732,"51,617"
1996,Utah,5.160057471,"57,807"
1996,Vermont,5.191071429,"50,503"
1996,Virginia,5.789473684,"61,198"
1996,Washington,8.319444444,"57,242"
1996,West Virginia,9.083636364,"39,404"
1996,Wisconsin,4.567592593,"62,431"
1996,Wyoming,4.791304348,"48,310"
1997,Alabama,6.917537313,"48,794"
1997,Arizona,9.984444444,"50,018"
1997,Arkansas,6.316333333,"39,968"
1997,California,9.160632184,"60,641"
1997,Colorado,4.522005208,"66,048"
1997,Connecticut,5.002083333,"67,197"
1997,Delaware,4.072222222,"65,742"
1997,Hawaii,8.31875,"62,536"
1997,Idaho,6.325189394,"51,032"
1997,Illinois,5.01495098,"63,069"
1997,Indiana,3.997373188,"59,411"
1997,Iowa,3.326683502,"51,611"
1997,Kansas,3.622380952,"55,717"
1997,Kentucky,6.692777778,"51,105"
1997,Louisiana,7.48125,"50,812"
1997,Maine,5.946354167,"50,066"
1997,Maryland,6.094444444,"71,322"
1997,Massachusetts,4.167857143,"64,199"
1997,Michigan,5.959939759,"59,187"
1997,Minnesota,4.717145594,"65,026"
1997,Mississippi,7.117784553,"43,538"
1997,Missouri,5.285,"55,843"
1997,Montana,5.430803571,"44,628"
1997,Nebraska,2.547311828,"53,000"
1997,Nevada,5.571078431,"59,358"
1997,New Hampshire,3.430833333,"62,633"
1997,New Jersey,5.491666667,"73,363"
1997,New Mexico,7.880555556,"45,963"
1997,New York,5.922983871,"54,689"
1997,North Carolina,4.820333333,"54,753"
1997,North Dakota,3.091823899,"48,369"
1997,Ohio,5.895265152,"55,203"
1997,Oklahoma,4.797402597,"47,896"
1997,Oregon,7.691898148,"56,903"
1997,Pennsylvania,6.056840796,"57,315"
1997,Rhode Island,4.725,"53,160"
1997,South Carolina,6.07807971,"52,343"
1997,South Dakota,3.894318182,"45,364"
1997,Tennessee,7.355263158,"46,803"
1997,Texas,5.730708661,"53,585"
1997,Utah,4.64683908,"65,348"
1997,Vermont,4.649404762,"53,551"
1997,Virginia,4.961904762,"65,626"
1997,Washington,6.957478632,"68,078"
1997,West Virginia,8.241818182,"41,994"
1997,Wisconsin,4.537152778,"60,490"
1997,Wyoming,4.660869565,"51,061"
1998,Alabama,6.167039801,"54,664"
1998,Arizona,9.546666667,"55,906"
1998,Arkansas,6.299666667,"41,700"
1998,California,8.768965517,"61,700"
1998,Colorado,4.749088542,"70,239"
1998,Connecticut,3.45,"70,102"
1998,Delaware,3.830555556,"62,490"
1998,Hawaii,7.725,"61,539"
1998,Idaho,6.315530303,"55,288"
1998,Illinois,4.644771242,"65,082"
1998,Indiana,3.457246377,"59,887"
1998,Iowa,3.010606061,"55,799"
1998,Kansas,3.356746032,"55,335"
1998,Kentucky,5.914722222,"54,643"
1998,Maine,5.328645833,"53,720"
1998,Maryland,5.363194444,"75,389"
1998,Massachusetts,3.517857143,"63,827"
1998,Michigan,5.211546185,"63,037"
1998,Minnesota,3.99032567,"72,239"
1998,Mississippi,6.726422764,"43,893"
1998,Missouri,4.875,"60,595"
1998,Montana,5.947470238,"47,596"
1998,Nebraska,2.681451613,"54,886"
1998,Nevada,5.838235294,"59,924"
1998,New Hampshire,2.785,"67,766"
1998,New Jersey,4.908730159,"75,103"
1998,New Mexico,7.374242424,"47,545"
1998,New York,5.440994624,"56,364"
1998,North Carolina,4.545583333,"54,019"
1998,North Dakota,3.520597484,"45,677"
1998,Ohio,5.582007576,"58,672"
1998,Oklahoma,5.184415584,"50,837"
1998,Oregon,7.70625,"58,886"
1998,Pennsylvania,5.388059701,"58,808"
1998,Rhode Island,4.168333333,"61,326"
1998,South Carolina,5.275,"50,144"
1998,South Dakota,3.774494949,"49,419"
1998,Tennessee,6.011491228,"51,386"
1998,Texas,5.607086614,"53,936"
1998,Utah,5.015517241,"66,772"
1998,Vermont,4.050595238,"59,346"
1998,Virginia,3.901253133,"65,348"
1998,Washington,6.996581197,"71,478"
1998,West Virginia,8.139848485,"40,251"
1998,Wisconsin,4.29525463,"62,292"
1998,Wyoming,4.723913043,"53,133"
1999,Alabama,6.621641791,"53,502"
1999,Arizona,9.251666667,"54,600"
1999,Arkansas,5.624666667,"43,807"
1999,California,7.499281609,"64,391"
1999,Colorado,4.097395833,"71,103"
1999,Connecticut,2.786458333,"74,669"
1999,Delaware,3.675,"68,817"
1999,Hawaii,6.508333333,"65,683"
1999,Idaho,6.127462121,"52,836"
1999,Illinois,4.559640523,"68,377"
1999,Indiana,3.385416667,"60,272"
1999,Iowa,2.801936027,"60,656"
1999,Kansas,3.043492063,"55,121"
1999,Kentucky,5.803819444,"49,793"
1999,Louisiana,6.728125,"48,193"
1999,Maine,4.802604167,"57,356"
1999,Maryland,4.310763889,"77,048"
1999,Massachusetts,3.325595238,"64,946"
1999,Michigan,4.964457831,"68,022"
1999,Minnesota,4.050574713,"69,422"
1999,Mississippi,6.864329268,"47,934"
